name,distance_from_earth,planet_mass,planet_type,planet_radius,distance_from_their_sun,orbital_period,gravity,orbital_speed,specifications
11 Comae Berenices b,305,6165.32,Gas Giant,12.096,1.29 AU,326 days,413.773676,430.2784594,['goldilock']
11 Ursae Minoris b,410,4684.372,Gas Giant,12.208,1.53 AU,1.4 years,308.640651,325.5727332,['goldilock']
14 Andromedae b,247,1525.44,Gas Giant,12.88,0.83 AU,185.8 days,90.29302342,485.7467209,"['gravity', 'goldilock']"
14 Herculis b,59,1480.948,Gas Giant,12.88,2.93 AU,4.9 years,87.6594769,178.1378353,"['gravity', 'speed']"
16 Cygni B b,69,565.684,Gas Giant,13.44,1.66 AU,2.2 years,30.75148897,224.7864028,"['gravity', 'goldilock']"
18 Delphini b,249,3273.34,Gas Giant,12.432,2.6 AU,2.7 years,207.9696236,286.8759983,[]
1RXS J160929.1-210524 b,473,2542.4,Gas Giant,18.6368,330.0 AU,6505.9 years,71.87733756,15.11092975,"['gravity', 'speed']"
24 Bootis b,314,289.198,Gas Giant,13.888,0.19 AU,30.4 days,14.72335083,679.6064815,['gravity']
24 Sextantis b,236,632.422,Gas Giant,13.328,1.333 AU,452.8 days,34.95970766,320.1114628,"['gravity', 'goldilock']"
24 Sextantis c,236,273.308,Gas Giant,13.888,2.08 AU,2.4 years,13.91437551,258.1883984,['gravity']
2MASS J01033563-5515561 AB b,154,4131.4,Gas Giant,12.32,84.0 AU,1767.2 years,267.2800973,14.16048778,['speed']
2MASS J01225093-2439505 b,117,7786.1,Gas Giant,11.2,52.0 AU,593.2 years,609.5014219,26.11480766,['speed']
2MASS J02192210-3925225 b,129,4417.42,Gas Giant,16.128,156.0 AU,5878.1 years,166.7625221,7.906281234,['speed']
2MASS J04414489+2301513 b,457,2383.5,Gas Giant,12.656,15.0 AU,411 years,146.1211277,10.87261644,['speed']
2MASS J12073346-3932539 b,210,1271.2,Gas Giant,12.992,46.0 AU,2207.3 years,73.9524645,6.208420135,"['gravity', 'speed']"
2MASS J19383260+4603591 b,1307,603.82,Gas Giant,13.44,0.92 AU,416 days,32.82462306,240.4761396,"['gravity', 'goldilock']"
2MASS J21402931+1625183 A b,82,6657.91,Gas Giant,10.304,Unknown,20.1 years,615.7678518,13.63566743,['speed']
2MASS J22362452+4751425 b,241,3972.5,Gas Giant,12.32,230.0 AU,4505.7 years,257.0000936,15.2072328,['speed']
30 Arietis B b,146,4391.996,Gas Giant,12.32,0.99 AU,335.1 days,284.1393034,321.2463941,['goldilock']
42 Draconis b,296,1233.064,Gas Giant,12.992,1.19 AU,479.1 days,71.73389056,270.0836445,"['gravity', 'goldilock']"
47 Ursae Majoris b,45,804.034,Gas Giant,13.216,2.1 AU,3 years,45.20278003,208.5367834,['gravity']
47 Ursae Majoris c,45,171.612,Gas Giant,14.224,3.6 AU,6.6 years,8.32904017,162.4961948,"['gravity', 'speed']"
47 Ursae Majoris d,45,521.192,Gas Giant,13.44,11.6 AU,38.4 years,28.33283254,89.99355234,"['gravity', 'speed']"
4 Ursae Majoris b,240,2256.38,Gas Giant,12.656,0.87 AU,269.3 days,138.3280009,351.2856377,['goldilock']
51 Eridani b,96,635.6,Gas Giant,13.328,12.0 AU,32 years,35.13538459,111.7161339,"['gravity', 'speed']"
51 Pegasi b,50,146.188,Gas Giant,14.224,0.0527 AU,4.2 days,7.095108293,1364.390917,['gravity']
55 Cancri b,41,263.96468,Gas Giant,13.888,0.115227 AU,14.7 days,13.43869802,852.3430317,['gravity']
55 Cancri c,41,54.47092,Gas Giant,8.512,0.241376 AU,44.4 days,7.38230989,591.1376363,['gravity']
55 Cancri d,41,1232.4284,Gas Giant,12.992,5.503 AU,13.2 years,71.69691433,124.1967445,"['gravity', 'speed']"
55 Cancri e,41,8.08,Super Earth,1.91,0.01544,0.7,21.74880591,2398.42836,"['gravity', 'planet_type']"
55 Cancri f,41,44.8098,Gas Giant,7.5824,0.788 AU,262 days,7.653329545,327.0411648,"['gravity', 'goldilock']"
61 Virginis b,28,5.1,Neptune-like,2.11,0.050201 AU,4.2 days,11.2485374,1299.69238,['gravity']
61 Virginis c,28,18.2,Neptune-like,4.4576,0.2175 AU,38 days,8.994147172,622.376462,['gravity']
61 Virginis d,28,22.9,Neptune-like,5.1072,0.476 AU,123 days,8.621057523,420.8034929,"['gravity', 'goldilock']"
6 Lyncis b,179,638.778,Gas Giant,13.328,2.11 AU,2.6 years,35.31106151,241.7651719,['gravity']
70 Virginis b,58,2380.322,Gas Giant,12.656,0.481 AU,116.7 days,145.9262995,448.1792186,['goldilock']
75 Ceti b,271,953.4,Gas Giant,13.104,2.1 AU,1.9 years,54.5202916,329.2686053,['gravity']
7 Canis Majoris b,65,587.93,Gas Giant,13.44,1.758 AU,2 years,31.96081719,261.862618,"['gravity', 'goldilock']"
7 Canis Majoris c,65,276.486,Gas Giant,13.888,2.153 AU,2.7 years,14.07617058,237.555394,['gravity']
81 Ceti b,331,1684.34,Gas Giant,12.768,2.5 AU,2.6 years,101.4553155,286.4516255,[]
8 Ursae Minoris b,533,416.318,Gas Giant,13.664,0.49 AU,93.4 days,21.89577255,570.4619716,"['gravity', 'goldilock']"
91 Aquarii b,144,1016.96,Gas Giant,13.104,0.7 AU,181.4 days,58.1549777,419.6026788,"['gravity', 'goldilock']"
AB Pictoris b,163,4290.3,Gas Giant,12.32,260.0 AU,4421.7 years,277.560101,17.51736199,['speed']
Alpha Arietis b,66,572.04,Gas Giant,13.44,1.2 AU,380.8 days,31.09701132,342.6587302,"['gravity', 'goldilock']"
Alpha Tauri b,67,2056.166,Gas Giant,12.656,1.46 AU,1.7 years,126.0538261,255.8518519,['goldilock']
AU Microscopii b,32,57.204,Gas Giant,4.2,0.066 AU,8.5 days,31.84333959,844.3111111,['gravity']
BD+03 2562 b,8540,2033.92,Gas Giant,12.656,1.3 AU,481.9 days,124.6900289,293.3350242,['goldilock']
BD-06 1339 b,66,8.5,Neptune-like,2.8448,0.0428 AU,3.9 days,10.31350393,1193.319278,['gravity']
BD-06 1339 c,66,54.026,Gas Giant,8.3664,0.435 AU,125.9 days,7.579077649,375.69985,"['gravity', 'goldilock']"
BD-08 2823 b,135,12.7132,Neptune-like,3.6064,0.06 AU,5.6 days,9.598378719,1165.039683,['gravity']
BD-08 2823 c,135,104.874,Gas Giant,12.432,0.68 AU,237.6 days,6.663104447,311.2002743,"['gravity', 'goldilock']"
BD-10 3166 b,276,187.502,Gas Giant,14.112,0.04 AU,3.5 days,9.245269176,1242.708995,['gravity']
BD-11 4672 b,89,206.57,Gas Giant,14,2.36 AU,4.5 years,10.34908537,156.2370821,"['gravity', 'speed']"
BD-11 4672 c,89,15.37,Neptune-like,4.032,0.3 AU,74.2 days,9.283753739,439.6376161,['gravity']
BD-13 2130 b,3095,3108.084,Gas Giant,12.432,1.66 AU,2 years,197.4701863,247.2650431,['goldilock']
BD+14 4559 b,161,330.512,Gas Giant,13.776,0.78 AU,268.9 days,17.10140354,315.4142391,"['gravity', 'goldilock']"
BD+15 2375 b,2525,337.1858,Gas Giant,13.776,0.576 AU,153.2 days,17.44672034,408.8285466,"['gravity', 'goldilock']"
BD+15 2940 b,1408,352.758,Gas Giant,13.776,0.539 AU,137.5 days,18.25245955,426.2491852,"['gravity', 'goldilock']"
